1.99219,12623
3.98438,81
5.97656,76
7.96875,221
9.96094,1080
11.9531,3183
13.9453,4450
15.9375,3502
17.9297,2839
19.9219,2378
21.9141,1360
23.9062,881
25.8984,435
27.8906,180
29.8828,182
31.875,128
33.8672,115
35.8594,132
37.8516,105
39.8438,109
41.8359,99
43.8281,99
45.8203,90
47.8125,80
49.8047,65
51.7969,70
53.7891,70
55.7812,78
57.7734,77
59.7656,74
61.7578,81
63.75,67
65.7422,68
67.7344,83
69.7266,65
71.7188,64
73.7109,62
75.7031,65
77.6953,63
79.6875,75
81.6797,70
83.6719,64
85.6641,70
87.6562,58
89.6484,62
91.6406,50
93.6328,68
95.625,60
97.6172,49
99.6094,62
101.602,65
103.594,66
105.586,65
107.578,47
109.57,66
111.562,60
113.555,81
115.547,81
117.539,84
119.531,101
121.523,277
123.516,550
125.508,670
127.5,681
129.492,672
131.484,834
133.477,1525
135.469,2955
137.461,5161
139.453,4195
141.445,1831
143.438,829
145.43,354
147.422,200
149.414,165
151.406,161
153.398,141
155.391,112
157.383,124
159.375,123
161.367,123
163.359,105
165.352,85
167.344,94
169.336,101
171.328,113
173.32,113
175.312,83
177.305,89
179.297,92
181.289,104
183.281,97
185.273,79
187.266,80
189.258,99
191.25,88
193.242,84
195.234,71
197.227,78
199.219,79
201.211,77
203.203,87
205.195,66
207.188,64
209.18,78
211.172,67
213.164,79
215.156,83
217.148,66
219.141,59
221.133,70
223.125,78
225.117,73
227.109,84
229.102,48
231.094,66
233.086,52
235.078,65
237.07,62
239.062,75
241.055,59
243.047,64
245.039,65
247.031,61
249.023,61
251.016,60
253.008,65
255,3401
